idx,external_id,channel,canonical_status,product_type,items_count,total_amount,currency,edge_case,webhook_target
71,3000000000000072,woocommerce,shipped,double,1,144210.38,ARS,,
72,3000000000000073,mercadolibre,shipped,double,1,130827.7,ARS,,/orders/3000000000000073
73,3000000000000074,woocommerce,shipped,double,1,394258.66,ARS,,
74,3000000000000075,mercadolibre,shipped,double,1,126309.46,ARS,,/orders/3000000000000075
75,3000000000000076,woocommerce,shipped,double,1,192179.74,ARS,,
76,3000000000000077,mercadolibre,shipped,double,1,133792.86,ARS,,/orders/3000000000000077
77,3000000000000078,woocommerce,shipped,double,1,135975.38,ARS,,
78,3000000000000079,mercadolibre,shipped,double,1,219900.16,ARS,,/orders/3000000000000079
79,3000000000000080,woocommerce,shipped,double,1,196909,ARS,,
80,3000000000000081,mercadolibre,shipped,double,1,146713.44,ARS,,/orders/3000000000000081
81,3000000000000082,woocommerce,shipped,double,1,142879.48,ARS,,
82,3000000000000083,mercadolibre,shipped,double,1,128376.86,ARS,,/orders/3000000000000083
83,3000000000000084,woocommerce,shipped,double,1,118277.24,ARS,,
84,3000000000000085,mercadolibre,shipped,double,1,147855.32,ARS,,/orders/3000000000000085
85,3000000000000086,woocommerce,shipped,double,1,116406.96,ARS,,
86,3000000000000087,mercadolibre,shipped,double,1,351276.36,ARS,,/orders/3000000000000087
87,3000000000000088,woocommerce,shipped,double,1,234505.98,ARS,,
88,3000000000000089,mercadolibre,shipped,double,1,333581.3,ARS,,/orders/3000000000000089
89,3000000000000090,woocommerce,shipped,double,1,183499.8,ARS,,
90,3000000000000091,mercadolibre,delivered,kit,1,341476.64,ARS,,/orders/3000000000000091
91,3000000000000092,woocommerce,delivered,kit,1,325137.96,ARS,,
92,3000000000000093,mercadolibre,delivered,kit,1,290194.76,ARS,,/orders/3000000000000093
93,3000000000000094,woocommerce,delivered,kit,1,769203.96,ARS,,
94,3000000000000095,mercadolibre,delivered,kit,1,434120.32,ARS,,/orders/3000000000000095
95,3000000000000096,woocommerce,delivered,kit,1,433796.64,ARS,,
96,3000000000000097,mercadolibre,delivered,kit,1,243505.88,ARS,,/orders/3000000000000097
97,3000000000000098,woocommerce,delivered,kit,1,589520.92,ARS,,
98,3000000000000099,mercadolibre,delivered,kit,1,293652.72,ARS,,/orders/3000000000000099
99,3000000000000100,woocommerce,delivered,kit,1,332243.32,ARS,,
100,3000000000000101,mercadolibre,delivered,kit,1,371690.88,ARS,,/orders/3000000000000101
101,3000000000000102,woocommerce,delivered,kit,1,265336.52,ARS,,
102,3000000000000103,mercadolibre,delivered,kit,1,333384.8,ARS,,/orders/3000000000000103
103,3000000000000104,woocommerce,delivered,kit,1,289906.84,ARS,,
104,3000000000000105,mercadolibre,delivered,kit,1,322566.16,ARS,,/orders/3000000000000105
105,3000000000000106,woocommerce,delivered,kit,1,408863.88,ARS,,
106,3000000000000107,mercadolibre,delivered,kit,1,289803.12,ARS,,/orders/3000000000000107
107,3000000000000108,woocommerce,delivered,kit,1,288976.92,ARS,,
108,3000000000000109,mercadolibre,delivered,multi_with_service,2,291675.29,ARS,,/orders/3000000000000109
109,3000000000000110,woocommerce,delivered,multi_with_service,2,377643,ARS,,
110,3000000000000111,mercadolibre,delivered,multi_with_service,2,190171.53,ARS,,/orders/3000000000000111
111,3000000000000112,woocommerce,delivered,multi_with_service,2,445987.8,ARS,,
112,3000000000000113,mercadolibre,delivered,multi_with_service,2,268423.63,ARS,,/orders/3000000000000113
113,3000000000000114,woocommerce,delivered,multi_with_service,2,209514.02,ARS,,
114,3000000000000115,mercadolibre,pending_payment,multi_with_service,2,345554.61,ARS,,/orders/3000000000000115
115,3000000000000116,woocommerce,pending_payment,multi_with_service,2,121785.89,ARS,,
116,3000000000000117,mercadolibre,pending_payment,multi_with_service,2,157905.11,ARS,,/orders/3000000000000117
117,3000000000000118,woocommerce,pending_payment,multi_with_service,2,420484.66,ARS,,
118,3000000000000119,mercadolibre,pending_payment,multi_with_service,2,332264.68,ARS,,/orders/3000000000000119
119,3000000000000120,woocommerce,pending_payment,multi_with_service,2,341714.69,ARS,,
120,3000000000000121,mercadolibre,pending_payment,multi_with_service,2,132932.43,ARS,,/orders/3000000000000121
121,3000000000000122,woocommerce,pending_payment,multi_with_service,2,265774.81,ARS,,
122,3000000000000123,mercadolibre,pending_payment,multi_with_service,2,315036.8,ARS,,/orders/3000000000000123
123,3000000000000124,woocommerce,pending_payment,multi_with_service,2,338052.41,ARS,,
124,3000000000000125,mercadolibre,pending_payment,multi_with_service,2,226891.43,ARS,,/orders/3000000000000125
125,3000000000000126,woocommerce,pending_payment,multi_with_service,2,289232.4,ARS,,
126,3000000000000127,mercadolibre,cancelled,multi_with_service,2,139368.26,ARS,,/orders/3000000000000127
127,3000000000000128,woocommerce,cancelled,multi_with_service,2,313085.21,ARS,,
128,3000000000000129,mercadolibre,cancelled,multi_with_service,2,424279.63,ARS,,/orders/3000000000000129
129,3000000000000130,woocommerce,cancelled,multi_with_service,2,142637.17,ARS,,
130,3000000000000131,mercadolibre,cancelled,multi_with_service,2,445252.25,ARS,,/orders/3000000000000131
131,3000000000000132,woocommerce,cancelled,multi_with_service,2,295059.65,ARS,,
132,3000000000000133,mercadolibre,cancelled,multi_with_service,2,253022.08,ARS,,/orders/3000000000000133
133,3000000000000134,woocommerce,cancelled,multi_with_service,2,302213.92,ARS,,
134,3000000000000135,mercadolibre,cancelled,multi_with_service,2,262837.54,ARS,,/orders/3000000000000135
135,3000000000000136,woocommerce,cancelled,service_only,1,19754.56,ARS,,
136,3000000000000137,mercadolibre,cancelled,service_only,1,20376.01,ARS,,/orders/3000000000000137
137,3000000000000138,woocommerce,cancelled,service_only,1,3326.34,ARS,,
138,3000000000000139,mercadolibre,refunded,service_only,1,19691.45,ARS,,/orders/3000000000000139
139,3000000000000140,woocommerce,refunded,service_only,1,5299.46,ARS,,
140,3000000000000141,mercadolibre,refunded,service_only,1,4658.88,ARS,,/orders/3000000000000141
141,3000000000000142,woocommerce,refunded,service_only,1,15188.49,ARS,,
142,3000000000000143,mercadolibre,refunded,service_only,1,4015.08,ARS,,/orders/3000000000000143
143,3000000000000144,woocommerce,refunded,service_only,1,15214.2,ARS,,
144,3000000000000145,mercadolibre,error,long_title,1,618454.28,ARS,,/orders/3000000000000145
145,3000000000000146,woocommerce,error,long_title,1,73969.77,ARS,,
146,3000000000000147,mercadolibre,error,long_title,1,116475.85,ARS,,/orders/3000000000000147
147,3000000000000148,woocommerce,error,long_title,1,71290.53,ARS,,
148,3000000000000149,mercadolibre,error,long_title,1,137653.84,ARS,,/orders/3000000000000149
149,3000000000000150,woocommerce,error,long_title,1,62992.35,ARS,,
